asin,title,brand,rating,ratings_count,category,prime_eligible,latest_price,last_price_update
B00005T406,Logitech Optical Trackball Marble Mouse,Generic,4.5,0,ergonomic mouse,0,903.51,2026-09-03 10:16:09
B07FNJB8TT,"Logitech MX Vertical Wireless Mouse Ergonomic Design - Graphite | Reduces muscle strain, move content between 3 Windows and Apple computers, rechargeable",Generic,4.4,0,ergonomic mouse,0,361.41,2026-09-03 10:16:09
B09J1TB35S,"Logitech Lift Vertical Ergonomic Wireless Mouse - Graphite | Connect via Bluetooth or included Logi Bolt USB-A receiver, quiet clicks, 4 of 6 buttons customizable, Windows Mac compatible",Generic,4.4,0,ergonomic mouse,0,291.0,2026-09-03 10:16:09
B0CW6F9W2K,"JYKEYMOUT Bluetooth and 2.4G (2-in-1) Rechargeable Wireless Mouse, Ergonomic Vertical Design, 1000/1200/1600 DPI, 6 Silent Buttons, for Laptop, Computer, PC, MacBook, Chromebook-Black",Generic,4.2,0,ergonomic mouse,0,54.18,2026-09-03 10:16:09
B0D2JGKRMM,"Lenovo Yoga Pro Mouse, Bluetooth, USB-C Rechargable, Dual Mode Bluetooth, 6 Button, Right Handed Design, Ergonomic Design, Programmable Buttons, 2-Way Metal Scroll Wheel, Tidal Teal",Generic,4.4,0,ergonomic mouse,0,144.55,2026-09-03 10:16:09
B0D6PTR6MP,"Logitech MX Ergo S Advanced Wireless Trackball Mouse USB C - Graphite | Advanced ergonomic design, rechargeable battery, Bluetooth and encrypted dongle, 6 programmable buttons, PC/Mac compatible",Generic,4.5,0,ergonomic mouse,0,519.61,2026-09-03 10:16:09
B0DG5SW7F4,"TECKNET Ergonomic Mouse, 4800 DPI Wireless Bluetooth Vertical, 3-Device | Switch Among 3 Devices, 6 DPI Levels, BT 5.0/2.4G USB-A, Quiet Clicks, 6 Buttons, Battery-Powered, Right-Handed, Black",Generic,4.4,0,ergonomic mouse,0,121.96,2026-09-03 10:16:09
B0DR1K3DM1,"UGREEN Ergonomic Wireless Mouse, Bluetooth & 2.4G Wireless, Quiet Clicks | 1000/1600/2000/4000 DPI, Up to 3 Device Connectivity, 6 Buttons, Multi-system compatibility, for Laptop, Desktop, PC",Generic,4.3,0,ergonomic mouse,0,68.64,2026-09-03 10:16:09
B0F1YD86Z6,"TECKNET Ergonomic Mouse, Bluetooth Wireless Vertical Mouse, Rechargeable Battery, Quiet Clicks, 4800 DPI Adjustable, BT5.0/3.0 & 2.4G Connect, Easy to use, Wide Compatibility - Black",Generic,4.6,0,ergonomic mouse,0,112.92,2026-09-03 10:16:09
B0F38J746X,"TECKNET Ergonomic Mouse, 4800 DPI Wireless Bluetooth Vertical, 3-Device | Switch Among 3 Devices, 6 DPI Levels, BT 5.0/2.4G USB-A, Quiet Clicks, 6 Buttons, Battery-Powered, Right-Handed, Pink",Generic,4.4,0,ergonomic mouse,0,125.35,2026-09-03 10:16:09
B0F42QZ7GN,"Uineer Vertical Ergonomic Mouse, Wireless Bluetooth Mouse, 3-Device,Quiet | Switch among 3 devices; side scroll wheel supports horizontal navigation for documents and spreadsheets.",Generic,4.3,0,ergonomic mouse,0,121.96,2026-09-03 10:16:09
B0F6NFDYJV,"PHILIPS SPK7628 Ergonomic Mouse - Wireless Mouse with 3 Adjustable DPI | 2.4 GHz Vertical Mouse for Laptop and Desktop,6 Silent Buttons Quiet Mouse for S/M Rght Hands, Lightweight, Auto Sleep",Generic,4.3,0,ergonomic mouse,0,103.88,2026-09-03 10:16:09
B0FPFTF4NH,"TECKNET Wireless Trackball Mouse, Bluetooth Mouse with Ergonomic, Black | 3-Device Connectivity (Bluetooth & 2.4G), 5 Adjustable DPI, RGB Lighting, PC, Mac & Laptop Compatible",Generic,4.5,0,ergonomic mouse,0,144.55,2026-09-03 10:16:09
B0FWQN4VL1,"Uineer Vertical Ergonomic Mouse, Wireless Bluetooth Mouse, 3-Device | Switch among 3 devices via dual Bluetooth and 2.4G; rechargeable with 7-color ambient lighting.",Generic,4.4,0,ergonomic mouse,0,103.88,2026-09-03 10:16:09
B0FY5M888K,"PHILIPS Ergonomic Wireless Mouse, Multi-Device Bluetooth (USB-A/C) for Laptop & Mac/PC, Silent Productivity Mouse with Side Scroll, 5-Level DPI Rechargeable Computer Mouse, Right-Handed Comfort",Generic,4.3,0,ergonomic mouse,0,225.89,2026-09-03 10:16:09
B0G5P4K1G6,"TECKNET Ergonomic Mouse, BT5.3/2.4G, Silent Wireless Vertical, Rechargeable | 6 Adjustable DPI, USB A Receiver, Switch Between 3 Devices, 6 Buttons, Long Battery Life, Wide Compatibility, Black",Generic,4.6,0,ergonomic mouse,0,90.33,2026-09-03 10:16:09
B0GF63SSRY,"TECKNET Ergonomic Mouse, Vertical Wireless Mouse 2.4G, Computer Mouse with 6 Adjustable 4800 DPI, Quiet Clicks Optical Mice, USB A Receiver, 6 Buttons for Laptop, Desktop, PC - Black",Generic,4.3,0,ergonomic mouse,0,67.74,2026-09-03 10:16:09
B0GK95S8ST,"Uineer Ergonomic Wireless Vertical Mouse, 3-Mode Bluetooth 5.0/4.0 & 2.4GHz | Rechargeable, USB-A Receiver, Silent Computer Mouse for Laptop, Mac, iPad and PC, 4 DPI Levels, LED Light, 3-Device Switching",Generic,4.3,0,ergonomic mouse,0,103.88,2026-09-03 10:16:09
B0GR5WKW9F,"TECKNET Ergonomic Wireless Bluetooth Mouse, Silent Rechargeable Vertical Mouse(BT 5.0/5.0+2.4G), 5-Level 4800 DPI, 200H Long Battery Life, Quiet Clicks, 2.4GHz with USB A Receiver, Wide Compatibility",Generic,4.4,0,ergonomic mouse,0,112.92,2026-09-03 10:16:09
B0HD9ZZG4Y,"AOC Ergonomic Mouse, 2.4GHz Wireless Bluetooth Vertical Mouse, Rechargeable | 4800 DPI, Right Hand, Quiet Clicks, RGB Light, 6 Programmable Buttons, LED Battery Display, Suitable for PC/Laptop/Mac, Gray",Generic,4.8,0,ergonomic mouse,0,135.52,2026-09-03 10:16:09
B08Z6X4NK3,"Logitech G413 SE Full-Size Mechanical Gaming Keyboard - Black | Backlit, anti-ghosting, compatible with Windows and macOS, aluminum material",Generic,4.5,0,mechanical keyboard wireless,0,404.38,2026-09-03 10:15:54
