review_id,asin,product_title,reviewer_name,rating,review_title,body,verified_purchase,review_date
customer_review-R1QOL3O18FNFWA,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Rapp,5.0,Great computer—mediocre camera,"The camera is not really current. Especially for a laptop in this price range. It’s not much, if any, better than the toshiba laptop I got at Walmart for $400 back in like 2010. It is actually fine for me because I don’t rely on it for work or anything. But if you rely on it for virtual meetings, FaceTime, zoom, etc, you will be disappointed in the camera quality. I have very little need for the camera so it doesn’t bother me personally. But the camera is absolutely embarrassing for what has been named the laptop of the year by many, and I would agree, it’s a great computer. Great battery life, super fast charging, very light, not quiet—silent. Quiet implies there is a minimal amount of noise. There is no fan in this and it’s is literally silent. No noise at all, at any level that I can discern. Really fast. Best laptop I’ve ever had for sure.",1,"Reviewed in the United States on February 1, 2021"
customer_review-R3OM2CA0JOK4JU,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Amazonian Reviewer,4.0,Good laptop and amazing delivery,Got this as a gift during prime day sale. It came very promptly. I also live in an apartment complex and have a special kiosk system for packages. It's nice when I am out of town which I was when the package came. It came earlier than expected. I don't usually use the kiosk but they left it in there for me all securely. Laptop works great. The gift was a success as well! The only thing is that the camera could be better. My boyfriend needed a laptop due to his Lenovo shutting down and a nice camera (his old one stopped working) to confirm his identity for online tests. He tested it out and it was pretty blurry for a pricey laptop which is why I give this 4 stars instead of 5.,1,"Reviewed in the United States on October 16, 2022"
customer_review-R7E2O5B6FZFV5,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,R in Bama,5.0,Excellent Laptop,"Some difficulty setting up the computer.  The Voice Over commands are annoying.  Also, some difficulty with some of the basic software.  Specifically the Apple Pages and Numbers applications.  Apple has sent out a notice that all documents/photos, etc., backups need to be on iCloud Drive, instead of iCloud by the end of July. That the original iCloud is being phased out.  Had much difficulty moving everything over to iCloud Drive.  Ended up having to drag files, because they wouldn't automatically load.  I find Pages very difficult to use.  It is free, but I may replace it with Microsoft Word/Office. Bottom line:  excellent laptop, horrible free Pages and Numbers software.",1,"Reviewed in the United States on June 13, 2023"
customer_review-R3CHUTG9JG2C1U,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Brian Turrisi,5.0,They work!,So I saw Amazon giving a discount on the MacBook Air. I needed a new Mac but did not need all the fluff of a full MacBook Pro. I never owned an Air and decide to go for this. It is used for all portable activities I do and it is perfect for the job. The only thing I dislike is the lack of ports as there are only 2 USB-C and 1 headphone jack and that is it. I will be getting an additional accessory to be able to connect to the Mac through one of the USB-C ports but nothing comes with the purchase. Brian,1,"Reviewed in the United States on October 4, 2023"
customer_review-R322X2RICA86JW,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Byron Marshall,5.0,i love it! great laptop. the M1 chip is a MF beast.,"The Apple 2020 MacBook Air with the M1 chip is a game-changer in the laptop market. This sleek and lightweight device combines incredible power, efficiency, and performance, making it a true standout. The M1 chip delivers impressive speed and responsiveness, allowing for smooth multitasking and seamless app usage. The battery life is exceptional, providing all-day usage without needing to recharge. The Retina display is vibrant and sharp, offering a delightful visual experience. The keyboard is comfortable to type on, and the trackpad is precise and intuitive. With its solid build quality and innovative features, the Apple 2020 MacBook Air with the M1 chip is an outstanding choice for anyone seeking a reliable and high-performance laptop.",1,"Reviewed in the United States on July 13, 2023"
customer_review-RAWS6HPU7O39S,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,QQMKXP938,4.0,Wish I Hadn't Bought It,"When I first received my computer, I should have been elated.  I was not, however, and thought of returning it.  I wish I had. The finish is easily scratched; the setup shows that it was either built or registered in England and the photo shop doesn't work as easily or as well as it should.  Previously I had a stand alone Apple iMac computer which was wonderful. This  Macbook Air with the M1 chip was listed at such a bargain price that I couldn't resist.  I wish I had returned it.",1,"Reviewed in the United States on August 26, 2023"
customer_review-R31D7R6AMJ1K8K,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Chuck,5.0,Apple is really heads and shoulders above the rest!,"What a perfect computer! My wife has an older 13 inch Mac, and this is a great display of Apple quality over a ten-year period as to the advancement and expectations being easily met. So lightweight and compact.....hard to believe this would be a fully functioning computer. it looks like a toy...but looks are deceiving for sure! You get what you pay for.....Y E S, indeed! It does everything we had expected and more! Apple's safety, privacy, etc. and more are easily atop of all others. H/P is a very distant second place.",1,"Reviewed in the United States on December 23, 2023"
customer_review-R22Y303TTFKRNU,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,David Anthony Nedved,5.0,I love this laptop!,"I've had at least half a dozen mac laptops and as a non-pro the air is just what I needed. I replaced a Macbook Pro with the touch bar, the only Mac I've had which failed on me, and when I saw the price of new Macbook Pros I about fainted. I don't do graphics or video, I don't play games, I figured I'd just try the basic Macbook Air and see if it was fast enough. Bingo, it's great. New M1 processor is plenty for web surfing, daily use of the full MS Office suite with multiple windows open at the same time, video streaming etc. Battery life is terrific, I can work all day on a single charge! Sure there are people who need a ""Pro"" device but for the vast majority of us, even heavy daily usage, this is a spectacular computer.",1,"Reviewed in the United States on January 20, 2022"
customer_review-R1N7KT0R6DW9X4,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,MINDLESS CONSUMER,4.0,I like apple products but ........,"I like Apple products but as usual they refuse to let their customers fix or upgrade the Apple brand products. Their customer service is horrible because they don't want to fix brand products and only want you to buy new products and also want every reason to drain your bank account. So sad Apple is this greedy playing the capitalist growth model. No balance leads to a company's failure no matter how big. You can't put growth and profit at the top of your goals, the house of Apples will tumble.",1,"Reviewed in the United States on October 16, 2023"
customer_review-REN6DS4DO6B4M,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Craig Brito,5.0,Remarkable laptop,"As many others have shared, the Apple MacBook Air M1 is a great laptop. The display is gorgeous. The keyboard is accurate and smooth. Apple has the best trackpads! Battery life is so good that there is no anxiety over having enough power to finish the day. The setup experience is so good with Apple products. All I had to do was choose my language and connect to wi-fi and then moments later the laptop was ready for me to login. The laptop integrates so well with the other Apple devices. Although I wonder why it wanted my iPhone's lock screen passcode. I am not sure how secure I feel that my iPhone's lock screen password is shared over the air with the laptop... Otherwise the MacBook Air is a great device for consuming content and for light-creative work.",1,"Reviewed in the United States on September 3, 2022"
customer_review-R3G16CILKEU6RV,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Scott,5.0,Best for under 1000,"I looked at a lot of different laptops and went to my local Best Buy for in person testing before deciding on this one.  I work from home and have been using a older model HP that was passed down to me that had a hour and a half battery life, a plastic shell, and froze endlessly. This laptop is real clean looking, feels solid, has insane battery life, and the screen is absolutely insane.  Watching videos on it is unreal and have had no issues running multiple programs/desktops/and some gaming on it.  I purchased the base model and run it with an external hard drive to keep the space clear on it. I love how all the apple products interact seamlessly with each other and the sidecar feature that links it to the iPad to work as a second screen on the go. In the future would be nice to see the bezels slimmed down, the keyboard have a little more weight to it, MacBook Air speakers amped up a bit, and a higher quality camera and all those things are near perfect.  Ill be holding on to this for the next 5 years plus",1,"Reviewed in the United States on April 10, 2021"
customer_review-R3V2OMX8VXRQHN,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Ed Deese,5.0,Great Upgrade,I replaced on older 2009 MacBook Pro with this new model from Apple. It has the new M1 chip and it is fast. For the type of things I do in a home office this is lightning fast. I don't do a lot of editing of videos or play video games on it so my work load is pretty mundane compared to others. I like it though because it is lightweight when I take it to my den or on a trip in my computer bag. The battery lasts a long time and the keyboard is very responsive. Love the screen clarity. I have not found any of my regular apps having any difficulty running on the new chip. I did set up a new camera connection app to see how it would do and had no issues either. It is running in the background and when they update to work specifically with the new chip it should work even better. I don't have any negatives with this computer. I have been an Apple fan for several years now and so use to it that I have great difficulty when trying to use a Window's based computer.,1,"Reviewed in the United States on January 27, 2021"
customer_review-R3LO7ZQER3LH9,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Abdiel Jimenez,5.0,Excelente for daily use,"The 13"" MacBook Air with the M1 chip is an excellent choice for those looking for a powerful and lightweight laptop for daily use. The best: Performance: The M1 chip offers exceptional performance compared to previous models. Battery life: The battery of the MacBook Air M1 offers impressive autonomy, allowing you to work for hours without needing to charge it. Cons With the current price, Maybe you can consider M2 or M3 and the base of 256GB of storage, Maybe Would not fit a heavy use.",1,"Reviewed in the United States on February 3, 2025"
customer_review-R1Z1DOJWLHYCCC,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Natalie,5.0,Great value!,"I wanted to upgrade from my 7 year old chromebook and I've always wanted a macbook, especially since I'll be starting grad school. This was a great option without breaking the bank. Came neatly boxed up with the charger included. Few minor dents but otherwise booted up and has been working perfectly.",1,"Reviewed in the United States on July 2, 2025"
customer_review-RRU10NGA11N7U,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,GeraldP56,5.0,Insanely great value on a new M1 Air,"This M1 replaces a 2015 MacBook Air. It's actually the second M1 Air in our family (I bought a refurbished one earlier this year to replace a retiring 2012 Air), and at $799 for the 8 GB RAM / 256 GB SSD model is an insanely great value. Some of the other recent reviews mentioned a musty odor and speculated these had been in storage or previously used. There was a slight musty or chemical odor when the box was opened, but upon checking carefully I found the smell originated from the included printed materials, NOT the computer itself or the packaging. There was absolutely no sign of mold, moisture, or dampness in the box, the sealed packaging, or the laptop. Installing and running a utility showed this Air was assembled in August 2022 and had so far logged no battery cycles. It's a new M1 Air, not old stock. (The 2020 date in the description is the year the M1 Air model was introduced, not when this computer was made.)",1,"Reviewed in the United States on November 27, 2022"
customer_review-R3C3FS7ZJ1BK2H,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,JSimon,5.0,Was the ultimate laptop in 2020,"I've been a Macintosh user since the spring of 1984! I've sold and supported them, and was the IT director of a K-12 school for 20 years. To me, the M1 MacBook Air is the finest laptop for the vast majority of purchasers. (Sorry Apple.) If you are like me, surf the Internet, do word processing and spreadsheets, a little video editing, and track my family photos - the M1 Air will serve you beyond your expectations. The M1 processor is astoundingly fast. The SSD (solid state drive) virtually eliminates the spinning beachball. iCloud or offsite storage makes the 256 GB storage more than adequate. Yes, Apple is advancing with the M2 and M3 processors, and the 15"" Air has a beautiful display, but for less than $1,000 you can't beat the M1 MacBook Air.",1,"Reviewed in the United States on September 17, 2023"
customer_review-R33SOS82UL8QN8,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Johnny,5.0,Great purchase when on sale. Do it!!!,"First time Mac user after using nothing but PCs. Could not pass up the deal for this brand new 2020 laptop in 2023. I’m also a long time user of an iPhone and iPad.  The laptop is perfect in so many ways. Very fast, easy to use overall. There are minor things that you notice after switching from a PC, but I’m sure I’ll get used to it in due time. Battery life is absolutely incredible. Able to have it at full use and not beed To charge it for a while. Once you sign in with your Apple ID it connects all of your associated devices seamlessly. Was hesitant at first to switch to MAC and buy the older model, but was sold on it immediately after using.",1,"Reviewed in the United States on October 15, 2023"
customer_review-R2M9VH9070DR5A,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Docnoq,4.0,Solid laptop,"Even in 2022, this laptop is a solid choice. As can be expected from Apple, the build quality feels premium. It is lightweight yet sturdy and the hinge feels great as well. I can open the screen to any angle I want without worrying about it feeling flimsy. Coming from an older, heavier laptop with loud fans, I appreciate the fanless design of this MacBook immensely as I never have to feel like I am disturbing anyone with loud fans. The battery life is another area where this laptop excels. The battery can easily last a full day of normal use, so I do not have to constantly look around for outlets to keep it charged. Gaming wise, it could perform better. It can handle some light games, but don't expect to be playing any of the newer demanding games on it. It doesn't have a dedicated video card or anything, but I knew that going in.",1,"Reviewed in the United States on October 28, 2022"
customer_review-R6V15WTHXAZ1D,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Strahil Nikolov,4.0,Compact and quiet laptop,"It's really surprising how cool the laptop is when you do light activities (browsing , listening to music, etc). I had no idea that some pages are loading so quick and I think this is related to the M1 processor and the optimizations in the OS. I still have reservations on the fact that the MacBook has no vents or fans to cool itself down.It get pretty hot when doing light gaming,so I would consider getting a cooling pad. One large drawback for me is the reduced ammount and type of ports. Thankfully the Macbook works quite well with a Dell docking station and I can take advantage of the ports on it.",1,"Reviewed in the United States on November 7, 2023"
customer_review-RFD6QTASZITBT,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Kindle Customer,5.0,Just What You Expect From Apple / Mac,"I have had my new MacAir not quite two weeks and it is even better than I expected.  This one is with the new M1 chip and is an upgrade from my previous Mac....which I loved.  Faster, better, more battery.  What's not to like.  And frankly the price for the machine is a bargain.  I do not use my Mac for gaming, heavy downloads, large graphics so can't comment but is why the Air is a perfect choice over the Pro.  Transferring files etc from my previous Mac was a snap and now I have my ""old"" Mac on the M1 so everything works better.  I was a bit surprised everything is the same size and weight....but that's likely because I didn't look at those specs before purchase.  One sweet thing about the Mac is it comes about 70% charged so just open and start.  If you are considering a Mac or have one and are thinking about upgrade just do it.  And Amazon made it easy....arrived in two days.",1,"Reviewed in the United States on February 1, 2021"
customer_review-RCJQQWFTXBKJC,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Sandra,4.0,Good computer for the money,"I had an old MacBook Air that was having problems.  I didn't want to break the bank replacing it so I got this 2020 model. I was a wary of buying a computer online, but it arrived well packed and in pristine condition.  The set up was easy.  But a warning:  when Apple says it's easy to migrate data from your old Mac to a new Mac over your residential wifi, don't believe them!  To do it in a reasonable amount of time, you'll need to buy a Thunderbolt 4 and a type c connector dongle, so be prepared in advance.  There's no ethernet port in this model and using residential wifi to migrate data is an exercise in frustration (would take 30+ hours).  Other than that, I've had no significant issues so far.  Battery life is very good.",1,"Reviewed in the United States on December 9, 2022"
customer_review-R23K5CZKPPG7RU,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Cristian,5.0,Best purchase ever,"This purchase has been the best I made. This laptop meets everything I expected. After multiple year of use, if still works as the first day. I'm using it to write this review.",1,"Reviewed in the United States on August 7, 2025"
customer_review-R2TVBUHI4YX9JP,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Amazon Customer,5.0,Exactly the upgrade i was in need of,I jumped from a 2010 model MacBook to this I got the 256 fb 8gb model I produce music and honestly it’s been able to handle all of my plug ins and sound packs with ease...the touch buttons for the sound and brightness buttons are a much better practical way to go then the Touch Bar On the Mac Pro screen quality is solid and it’s really fast and smooth If you have any doubts for buying this over the pro don’t doubt it...it’s extremely quiet and to be honest one music session I had was about 5 hours straight and the laptop was barely a little warm after all of that editing and recording on Logic Pro x....if you can afford it....it’s worth it....the only thing I think that I’m annoyed with it the fact that apple is still using a 720p webcam....it feels really lazy to me that I’m 2021 they chose to go with a 720p I think if they fixed that the laptop would be perfect,1,"Reviewed in the United States on May 2, 2021"
customer_review-R686NAR6MDISB,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,John S.,5.0,Great notebook with almost no weaknesses,"Why is it that the PC world cannot make a good notebook for the same price? The MacBook Air is the bar that every PC model should be at. I bought a PC notebook that has seen more time at the repair depot than in my use. I finally decided to buy a MacBook Air because I was so impressed with a Mac mini I bought. I like everything about the Air from the keyboard, touchpad, beautiful screen quality and study chassis. I was skeptical of the finless design having had Intel MacBook Airs that ran very warm. So far this Apple silicon MacBook has stayed cool to touch. Honestly, I think a M1 MacBook is all many really need for general use cases. I highly recommend a MacBook Air over any PC notebook.",1,"Reviewed in the United States on April 25, 2023"
customer_review-RRL2M6G8F0P49,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Bond,3.0,Seems some of these are really old stock!!!,I love Apple products and picked this up since it was on sale and much less then direct. It was new in the box no issue but the battery was totally dead and it has last years Monterey OS installed. So I decided to check the manufacture date OMG this Macbook Air was made last Aug 22 and it is now July 23 so this Macbook Air was made almost a year ago and has been sitting in inventory. I for sure did not expect to get an almost 1 year old laptop as new. Sure it's new and still has full warranty but I am sure the battery sitting flat dead for several months cut some of its life out. Maybe Amazon is not rotating stock and with the sale for the past few weeks I got one that was on the bottom for a long while. Again just disappointed to receive such an old stock unit. For example just bought the 15in M2 Air a few weeks ago direct from Apple it was literally made the week before I received it. I mean sure maybe a few months old from Amazon but come on 11 month old stock not acceptable IMO.,1,"Reviewed in the United States on July 25, 2023"
customer_review-RG0F23JXBOJ7S,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Ivan,5.0,The best device for work and travel,"As a programmer, I can say that this is just the perfect device for work. The battery lasts more than 10 hours, even when watching movies and TV shows. The only exception is when I edit 4k material for video in Davinci Resolve. There, the battery lasts for 3-4 hours. Just like in games. Although I don't play games on this laptop. I ran Froetnite once for a test, I liked it in principle and the FPS was stable 60+. Passive cooling makes this laptop silent. Which is just perfect for audio recording. In addition, it will never get clogged with dust. It's also very convenient that it can be charged via Type-C cable. By the way, I use a third-party charger and there are no problems with this at all.",1,"Reviewed in the United States on April 20, 2023"
customer_review-R2U2NTQT5VR993,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Darryl Ballard,5.0,Amazing Mac with little Apple tax,"Caveats: This is a Mac, so like any other, software choice can be limited. It's also the new ARM/M1 chip, so certain programs haven't caught up (as of early 2021), especially virtualization (VMWare, VirtualBox) and languages (Haskell).  This is a 13-inch screen, so screen real estate is limited, I couldn't recommend this as a ""daily driver"", except maybe for school/university.  Probably a great option if you're frequently on Google Meet or Zoom. Overall: amazing battery life; unmatched 3D power for the size & price; gorgeous screen with no color/brightness lost when tilted nor LCD configuration needed to optimize color, white/black levels; Mac OS Big Sur is constantly fast and responsive with smooth animation regardless of what is open/running. I've bought a lot of laptops, but this one surprisingly nice.  If you have to have Windows, or have to stay $1000, get a Microsoft Surface (great too), but if you need a Mac or can afford the splurge, absolutely get this Air M1.",1,"Reviewed in the United States on February 21, 2021"
customer_review-R1LEXGV3WP6W9Q,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Nanette,5.0,Macbook's are great!,"I love apple products. This computer has been awesome. The design is great, love the color and battery life is good. So happy with this purchase",1,"Reviewed in the United States on August 11, 2025"
customer_review-R3OUT4IA6DDA5W,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Robert Cox,5.0,The price was right,"This is (maybe) my 4th Mac laptop. Not the most up-to-date one, but the deal was good, even great. About $700 for a returned one. The warning was ""possible cosmetic defects"", but there is nothing visible to me. It works fine, and does what I want. It came with all the pieces (computer, charger, cable). Now to be useful for many purposes, this laptop needs a USB hub. It has only 2 USB-C ports, so I have a hub that provides USB-A and USB-C inputs, HDMI outputs, and an SD card reader. With that, my setup is complete. My only possible kvetch is that the 16 GB memory version wasn't available with a similarly good deal. Oh well.",1,"Reviewed in the United States on July 18, 2023"
customer_review-R16FB2UL7F4INT,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,nicee,4.0,Macbook Air (Refurbished,Arrived in good condition Dont think theres anything wrong with it I guess I got lucky with refurbishes,1,"Reviewed in the United States on April 28, 2025"
customer_review-ROTBJRSUQAHOY,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,RMT Family,5.0,"Small, lightweight and no noise","This is my first Mac. It was not hard to get used to it as the laptop itself works great and has all the features needed. The battery life is extreme. Way longer than I expected. it also charges real quick. Nice that it uses a USB C plug to charge, it can be plugged in at any USB C plug. The only thing is that it only has two USB C ports. No SD or micro SD reader. I used an external Seagate hard drive with my windows laptop and now use it with the mac, just had to download free software from Seagate. The hard drive has 2 USB A ports that I can use to connect some of my devices that don't have a USB C plug. But this MacBook Air is super cool. The camera and microphone have great picture and sound quality. I have not even had a need to use my external Blue mic yet.",1,"Reviewed in the United States on May 12, 2021"
customer_review-R32NUDFQABSBTD,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,Santiago Rodriguez,5.0,"Amazing Macbook, I didn't think I was going to love it that much","I bought this laptop some months ago, and I waited some time before doing the review. The product came in three boxes, the one that appears in the image from Apple, a second one with some shockproof structure, and then another big one enclosing the two. The laptop was brand new as stated, and the setup was easy, I have been using it on and off as a secondary machine and it has been great, the screen is beautiful, the speakers sound amazing, and overall all the experience with the trackpad, keyboard, and feeling of the machine has been great. Really recommend it, I think it would be hard to find a contender within this price tag. ($799)",1,"Reviewed in the United States on August 2, 2023"
customer_review-R3NKWMX5FBN1AO,B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,pavin,5.0,Great laptop,"I am very impressed, as a lifetime windows user I never thought I would buy a Mac. Its the battery life, quietness, and lack of heat that impress me the most. I have never even gotten the battery to half yet, and I have left it on for days. Since I already have an Iphone and Iwatch the interaction between the 3 is a bonus (getting text messages from the phone to the laptop, my watch telling me if I left the laptop behind, etc.) I mainly use the mac for learning python and the mac os, along with light gaming for airplanes, etc. Its perfect. I don't see myself ever buying a windows laptop until they are whisper quiet, cool to the touch, and the battery lasts for many days instead of a few hours like this does.",1,"Reviewed in the United States on January 2, 2023"
